REGIAO:;N
UF:;TO
ESTACAO:;SANTA FE DO ARAGUAIA
CODIGO (WMO):;A048
LATITUDE:;-7,12416666
LONGITUDE:;-48,78138888
ALTITUDE:;171
DATA DE FUNDACAO:;30/07/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;989,9;990;989;;24,2;24,2;24,7;24,2;24,7;24,2;100;100;100;147;4,6;2,4;
2026/01/01;0100 UTC;0;990;990,2;989,7;;23,5;23,5;24,2;23,5;24,2;23,5;100;100;100;236;3,4;1,5;
2026/01/01;0200 UTC;0;989,9;990;989,8;;23,4;;23,7;23,4;23,7;23,5;100;100;;253;2,4;,7;
2026/01/01;0300 UTC;0;989,9;990;989,8;;23,2;;23,6;23,1;;;;;;96;2,4;1,2;
2026/01/01;0400 UTC;0;989,6;989,9;989,6;;23;;23,2;22,8;;;;;;213;2,6;,7;
2026/01/01;0500 UTC;0;988,4;989,6;988,4;;22,6;;23;22,6;;;;;;181;1;,3;
2026/01/01;0600 UTC;0;987,8;988,4;987,8;;22,6;;22,7;22,5;;;;;;132;1,9;,4;
2026/01/01;0700 UTC;0;987,6;987,8;987,6;;22,4;;22,6;22,3;;;;;;228;,9;,6;
2026/01/01;0800 UTC;0;988;988;987,6;;21,9;;22,4;21,8;;;;;;246;,8;,5;
2026/01/01;0900 UTC;0;988,4;988,4;988;;21,7;;22,1;21,7;;;;;;43;1;,5;
2026/01/01;1000 UTC;0;989,2;989,2;988,3;180,6;22,9;;22,9;21,6;;;;;;45;2,1;1,2;
2026/01/01;1100 UTC;0;989,9;989,9;989,2;899;25,6;;25,8;22,9;;;;;;37;2,5;1,4;
2026/01/01;1200 UTC;0;990,2;990,3;990;1751,7;27,8;27,8;27,9;25,4;27,9;25,4;100;100;100;14;5,6;2,7;
2026/01/01;1300 UTC;0;990,1;990,4;990,1;2519;29,8;27,2;29,8;27,7;28,7;26,8;100;85;86;337;6;3,7;
2026/01/01;1400 UTC;0;990,1;990,3;990,1;2986,6;31,6;26,3;31,7;29,7;27,5;25,4;86;73;73;24;7;3,1;
2026/01/01;1500 UTC;0;989,7;990,1;989,7;3025,8;30,9;25,3;32,5;30,3;26,7;24,7;78;69;72;356;6,8;3,2;
2026/01/01;1600 UTC;0;988,5;989,7;988,5;2216,4;30,8;26;31,6;29,6;27,1;24,9;81;72;76;345;7,4;3,6;
2026/01/01;1700 UTC;0;987,2;988,4;987,2;3423,1;31,4;25,6;32,5;30,8;27,2;25,3;78;69;71;;;;
2026/01/01;1800 UTC;0;986,4;987,2;986,3;2956,2;31,3;25,2;33,3;30,9;26,7;25,1;74;66;70;334;7,2;4,3;
2026/01/01;1900 UTC;0;985,9;986,4;985,6;1622,4;31,4;25,3;32,8;30,6;26,4;25;75;67;70;353;7,2;3,2;
2026/01/01;2000 UTC;0;986,2;986,3;985,9;617,1;28,2;24,8;31,4;28;26,3;23,5;82;70;82;153;6,1;3,5;
2026/01/01;2100 UTC;5,4;986,2;986,5;986;130,6;25,5;25,5;28,1;25;25,9;24,2;100;82;100;286;8,5;,8;
2026/01/01;2200 UTC;,2;986,7;986,7;986,1;34,5;25,1;;26,6;25,1;25,7;21,7;100;76;;76;3,3;1,2;
2026/01/01;2300 UTC;0;987,3;987,3;986,7;;25,3;;25,4;25,1;;;;;;193;1,5;,8;
2026/01/02;0000 UTC;0;988,2;988,2;987,3;;24,7;;25,4;24,7;;;;;;156;3;1,6;
2026/01/02;0100 UTC;0;988,8;988,8;988,2;;24,5;;24,8;24,3;;;;;;143;2,8;2,1;
2026/01/02;0200 UTC;0;988,8;989;988,8;;24,4;;24,6;24,4;;;;;;101;2,8;1,2;
2026/01/02;0300 UTC;0;988,4;988,9;988,3;;24,3;;24,4;24,2;;;;;;307;2,3;,9;
2026/01/02;0400 UTC;0;987,8;988,5;987,8;;24,2;;24,3;24,1;;;;;;289;1,7;1;
2026/01/02;0500 UTC;0;986,8;987,8;986,8;;23,8;;24,2;23,7;;;;;;357;1,4;,5;
2026/01/02;0600 UTC;0;986,1;986,8;986,1;;23,9;;24,1;23,7;;;;;;256;1,1;,6;
2026/01/02;0700 UTC;0;986;986,1;985,9;;23,9;;24,1;23,8;;;;;;222;1,4;1,1;
2026/01/02;0800 UTC;0;986;986;985,8;;23,3;;24;23,2;;;;;;78;1,6;1,5;
2026/01/02;0900 UTC;0;986,7;986,7;986;;23,3;;23,5;23,2;;;;;;98;1,6;,6;
2026/01/02;1000 UTC;0;987,3;987,3;986,7;94,5;23,8;;23,8;23,2;;;;;;275;1,9;,7;
2026/01/02;1100 UTC;0;988,1;988,1;987,3;448,3;25,5;;25,5;23,8;;;;;;166;1;,4;
2026/01/02;1200 UTC;0;988,6;988,7;988,1;1297,8;27,5;27,5;27,6;25,4;;;;;100;342;2,6;1,3;
2026/01/02;1300 UTC;0;989,1;989,1;988,6;2472,2;29,3;28,4;29,5;27,5;29,3;27,4;100;91;95;341;4,5;2,4;
2026/01/02;1400 UTC;0;988,8;989,1;988,8;2285,7;29,2;25,7;30,5;29;28;25,6;94;79;81;324;5;2,5;
2026/01/02;1500 UTC;,2;988,5;988,8;988,5;1037,4;25,5;25,5;30,1;25,3;26,8;24,7;100;79;100;348;10;3,8;
2026/01/02;1600 UTC;22;987,7;988,9;987,7;792,5;25,1;;26,1;23,7;;;;;;348;8,7;1,8;
2026/01/02;1700 UTC;,4;986,5;987,7;986,5;1345,9;27;27,1;27;25,1;;;;;100;348;5,6;3,2;
2026/01/02;1800 UTC;0;985,1;986,4;985,1;2008,8;27,8;27,5;28,6;27;28,6;27;100;97;98;336;7,6;4,8;
2026/01/02;1900 UTC;0;984,3;985,1;984,3;1056,4;27,2;26,9;28;27,2;28;26,4;100;95;98;332;8,4;3,4;
2026/01/02;2000 UTC;0;984,9;984,9;984,2;442,2;27,4;27,4;27,4;27,2;27,4;26,9;100;98;100;286;5,2;2;
2026/01/02;2100 UTC;0;985,1;985,4;984,9;296;26,6;26,6;27,5;26,6;27,5;26,6;100;98;100;275;4,2;2,2;
