REGIAO:;S
UF:;SC
ESTACAO:;RANCHO QUEIMADO
CODIGO (WMO):;A870
LATITUDE:;-27,6786111
LONGITUDE:;-49,04194444
ALTITUDE:;881
DATA DE FUNDACAO:;31/05/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;913,8;914;913,8;;20;20;20,5;19,9;20,5;19,9;100;100;100;;;;
2026/01/01;0100 UTC;0;913,5;913,8;913,4;;19,7;19,6;20,2;19,6;20,2;19,6;100;100;100;;;;
2026/01/01;0200 UTC;0;913,1;913,5;913;;19,6;19,6;20;19,3;20;19,3;100;100;100;;;;
2026/01/01;0300 UTC;,4;913,2;913,4;913;;20;20;20;19,5;20;19,5;100;100;100;;;;
2026/01/01;0400 UTC;0;912,4;913,2;912,4;,5;20,2;20,1;20,3;19,9;20,3;19,9;100;100;100;;;;
2026/01/01;0500 UTC;0;911,7;912,4;911,7;;20,5;20,5;20,5;20,2;20,5;20,1;100;100;100;;;;
2026/01/01;0600 UTC;0;910,9;911,7;910,9;;20,7;20,6;20,7;20,5;20,7;20,5;100;100;100;;;;
2026/01/01;0700 UTC;0;911,1;911,2;910,9;,5;20,8;20,3;20,8;20,7;20,7;20,1;100;96;97;;;;
2026/01/01;0800 UTC;0;910,7;911,1;910,6;;20,8;20,1;20,9;20,2;20,4;20,1;100;96;96;;;;
2026/01/01;0900 UTC;0;910,7;910,9;910,7;9,1;19,9;18,7;20,8;19,9;20,2;18,7;98;91;93;;;;
2026/01/01;1000 UTC;0;910,7;910,8;910,4;83,1;19,9;18,7;20;19,7;18,8;18,7;95;92;93;;;;
2026/01/01;1100 UTC;0;911,1;911,2;910,7;659,4;21,1;19,2;21,1;19,8;19,5;18,6;95;87;89;;;;
2026/01/01;1200 UTC;0;911,3;911,5;911;1747,6;23,3;;23,4;21,1;;;;;;;;;
2026/01/01;1300 UTC;0;911,3;911,5;911,3;2718,9;24;;24,5;23,3;;;;;;;;;
2026/01/01;1400 UTC;0;911,1;911,4;911,1;2795;24,3;;25,1;23,9;;;;;;;;;
2026/01/01;1500 UTC;0;910,5;911,1;910,5;2041,6;25,8;;26;24,3;;;;;;;;;
2026/01/01;1600 UTC;0;910;910,6;910;2713,1;26,6;20,7;28;25,8;21,9;19,6;74;64;70;;;;
2026/01/01;1700 UTC;0;909,4;910;909,4;1770,5;26,1;21,8;28,3;26;22,2;20;79;62;77;;;;
2026/01/01;1800 UTC;0;908,6;909,4;908,6;1210,1;26,3;22,7;26,4;25,4;;;84;73;81;;;;
2026/01/01;1900 UTC;0;908;908,6;908;1432,6;27;22,7;27,3;25,8;24,3;22,1;87;75;77;;;;
2026/01/01;2000 UTC;,6;908,4;908,8;907,9;1139,1;19,8;19,7;27,9;19,7;22,5;18,8;100;67;100;;;;
2026/01/01;2100 UTC;0;909,2;909,2;908,3;614,2;20,5;19,9;21;19,8;20,5;19,7;100;93;97;;;;
2026/01/01;2200 UTC;2,4;909,1;909,5;909;73,8;19,4;19,4;20,5;19,3;20,3;19,3;100;96;100;;;;
2026/01/01;2300 UTC;3,4;910;910,1;909,1;;19,5;19,4;19,8;19,4;19,8;19,3;100;100;100;;;;
2026/01/02;0000 UTC;,4;910,3;910,4;910;;19,4;19,3;19,5;19,1;19,5;19,1;100;100;100;;;;
2026/01/02;0100 UTC;0;910,7;910,7;910,1;;19;18,9;19,4;18,9;19,4;18,8;100;100;100;;;;
2026/01/02;0200 UTC;0;910,3;910,7;910,2;;18,8;18,7;19,1;18,7;19,1;18,5;100;99;100;;;;
2026/01/02;0300 UTC;0;910,1;910,5;910;;18,3;;18,9;18,2;;;;;;;;;
2026/01/02;0400 UTC;0;909,6;910,1;909,6;;18,1;;18,4;17,8;;;;;;;;;
2026/01/02;0500 UTC;,2;909,1;909,7;909,1;;17,6;17,6;18,1;17,6;18,1;17,6;100;100;100;;;;
2026/01/02;0600 UTC;0;908,6;909,1;908,6;;17,5;17,5;17,9;17,2;17,9;17,2;100;100;100;;;;
2026/01/02;0700 UTC;0;908,4;908,6;908,3;;17,9;17,9;18;17,3;18;17,3;100;100;100;;;;
2026/01/02;0800 UTC;0;908,5;908,6;908,4;;17,7;17,7;18,1;17,5;18,1;17,5;100;100;100;;;;
2026/01/02;0900 UTC;0;908,6;908,7;908,5;46,4;18,2;18,1;18,5;17,6;18,4;17,6;100;100;100;;;;
2026/01/02;1000 UTC;0;909,5;909,5;908,6;433,7;21,7;;21,7;18;20,9;18;100;95;;;;;
2026/01/02;1100 UTC;0;909,7;909,8;909,5;1238,8;24,6;;24,6;21,7;;;;;;;;;
2026/01/02;1200 UTC;0;909,7;909,8;909,6;2013,4;25,7;17;25,8;24,3;;;76;54;59;;;;
2026/01/02;1300 UTC;0;910;910;909,7;2920,7;26,3;16,5;26,7;25,4;18,2;11,8;62;40;55;;;;
2026/01/02;1400 UTC;0;909,7;910;909,7;3684,6;27;8,4;27,1;25,7;18,6;7,4;63;29;31;;;;
2026/01/02;1500 UTC;0;909,3;909,7;909,3;4078;27,9;;28,4;27;;;40;28;;;;;
2026/01/02;1600 UTC;0;908,6;909,3;908,6;4159,3;28,6;11,4;28,6;27,3;;;44;27;34;;;;
2026/01/02;1700 UTC;0;908,3;908,6;908,3;3868,4;28,7;;28,8;27,7;;;48;29;;;;;
2026/01/02;1800 UTC;0;908,2;908,7;908,2;2810,9;21,9;;28,7;21,9;;;;;;;;;
2026/01/02;1900 UTC;0;907,8;908,3;907,6;2815,6;23,7;;23,7;21,6;;;;;;;;;
2026/01/02;2000 UTC;0;907,9;908,2;907,8;704,1;20,8;16,5;24;20,8;;;;;76;;;;
2026/01/02;2100 UTC;,2;907,5;907,8;907;1059,9;23,8;;24,3;19,6;;;89;61;;;;;
2026/01/02;2200 UTC;0;908,2;908,2;907,5;346,1;20,6;14,9;23,9;20,4;;;;;70;;;;
